ts,sym,rule,side,trig,off,tp,sl,entry,exit,status,ret,fee,funding,hold_h,touched,recovered,pnl1x,pnl2x,queue_vol,f1,tbsi
2026-09-01 12:24:21,WIFUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.1982,0.1988,stop,-0.300,0.040,-0.00005,0.09,1,1,-0.3399,-0.6799,8164.2500,1,
2026-09-01 12:24:33,BIOUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,0.0266,0.0266,timeout,-0.028,0.040,-0.00050,0.81,1,1,-0.0679,-0.1357,437828.9643,1,
2026-09-01 12:24:35,CRVUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,0.3588,0.3566,tp,0.600,0.000,-0.00021,0.17,1,1,0.6002,1.2004,80315.9000,1,
2026-09-01 12:25:05,SOLUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,103.9274,103.8700,timeout,0.055,0.040,-0.00033,0.81,1,1,0.0156,0.0312,4568.0080,1,
2026-09-01 12:25:07,DOGEUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.0833,0.0833,timeout,0.032,0.040,-0.00090,0.81,1,1,-0.0076,-0.0152,2205244.0000,1,
2026-09-01 12:25:10,XRPUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,1.3887,1.3861,timeout,0.188,0.040,-0.00101,0.81,1,1,0.1489,0.2978,211661.1000,1,
2026-09-01 12:25:26,HBARUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.0743,0.0745,timeout,-0.272,0.040,-0.00030,0.81,1,1,-0.3114,-0.6229,395406.1905,1,
2026-09-01 12:26:10,BTCUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,78779.6448,78819.3000,timeout,-0.050,0.040,-0.00074,0.81,1,1,-0.0896,-0.1792,3.2405,1,
2026-09-01 12:26:22,UNIUSDC,fixed_l,long,0.2000,0.2000,0.5000,0.3000,5.3443,5.3710,tp,0.500,0.000,0.00002,0.02,1,1,0.5000,1.0000,22601.2667,1,
2026-09-01 12:26:42,WLDUSDC,mom_s,short,0.3000,1.0000,0.8000,0.5000,0.3691,0.3709,stop,-0.500,0.040,-0.00097,0.81,1,1,-0.5390,-1.0781,65655.5187,1,
2026-09-01 12:27:39,UNIUSDC,adapt_s,short,0.4906,0.4906,1.6352,1.0220,5.4104,5.3820,timeout,0.525,0.040,-0.00101,0.81,1,0,0.4862,0.9723,18617.0000,1,
2026-09-01 12:29:13,ORDIUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,3.9609,3.9620,timeout,-0.028,0.040,-0.00051,0.82,1,0,-0.0671,-0.1342,999.6000,1,
2026-09-01 12:29:13,ORDIUSDC,adapt_s,short,0.1930,0.1930,0.6432,0.4020,3.9606,3.9620,timeout,-0.035,0.040,-0.00051,0.82,1,0,-0.0741,-0.1483,999.6000,1,
